474

0 10 16 19 29 32 37 46 48 54 
2 11 17 20 26 31 39 47 53 56 
5 8 17 21 25 30 38 45 48 56 
0 6 16 23 25 31 38 43 53 59 
4 6 14 22 26 30 36 44 53 55 
3 6 17 21 24 34 40 43 49 55 
3 9 15 18 27 32 38 42 51 54 
5 8 12 19 26 34 36 44 48 59 
2 7 13 20 24 31 40 46 49 59 
1 11 17 18 27 34 37 47 52 59 
0 11 15 23 29 35 38 43 48 54 
4 7 14 20 25 30 37 47 50 58 
5 11 15 19 28 32 38 42 52 57 
2 10 13 22 28 31 36 42 48 55 
0 9 14 22 24 34 36 43 50 56 
1 10 17 19 26 30 39 44 48 57 
4 9 16 21 26 35 40 45 49 55 
3 11 17 21 28 35 40 46 53 58 
3 8 12 18 29 30 40 42 52 58 
1 7 12 22 25 32 41 47 52 59 
4 9 15 23 28 33 37 46 51 58 
5 7 13 22 26 30 38 45 52 58 
5 6 14 18 27 32 39 43 53 59 
3 8 14 23 25 31 41 42 51 56 
2 7 12 19 29 35 38 44 53 58 
0 10 15 21 25 33 36 43 52 59 
4 8 13 19 27 35 38 46 50 59 
2 9 14 22 28 35 37 47 48 54 
1 8 16 23 28 34 39 44 50 55 
4 10 12 23 29 35 41 45 48 58 
1 9 13 18 24 33 38 43 49 55 
4 6 14 18 26 35 41 43 49 58 
4 10 15 21 27 32 39 47 53 56 
2 6 15 20 26 33 36 47 48 58 
1 9 16 20 29 32 41 46 51 57 
4 6 15 19 28 31 37 42 50 55 
0 9 13 19 26 33 37 47 50 56 
2 8 15 22 24 33 37 45 49 55 
3 11 17 19 24 31 41 46 52 56 
1 7 14 23 28 30 40 45 50 54 
3 9 16 18 24 31 39 44 53 54 
4 11 12 23 27 34 40 45 49 57 
1 10 13 21 27 34 37 43 50 58 
5 9 16 23 29 34 38 44 52 56 
0 8 16 19 25 32 36 45 48 55 
2 9 13 21 25 32 40 42 49 56 
0 8 13 20 29 30 38 47 53 54 
3 7 17 20 29 35 39 43 51 55 
2 9 17 18 28 30 36 46 49 59 
5 6 13 18 25 30 40 46 51 57 
3 10 17 20 26 32 36 45 51 57 
2 11 16 21 26 35 38 43 50 59 
5 7 14 22 27 34 41 42 53 55 
1 6 16 22 27 30 40 44 52 56 
4 10 13 18 24 33 41 44 48 59 
1 6 12 18 29 31 37 46 53 55 
0 10 17 18 28 30 38 44 50 56 
4 8 12 19 26 33 39 45 53 54 
2 11 14 19 29 31 40 47 49 56 
5 10 15 23 26 31 37 43 52 55 
3 11 13 20 28 34 37 45 50 57 
0 7 13 21 28 33 36 42 51 59 
1 10 15 21 28 33 40 46 52 56 
5 9 15 19 24 32 39 47 52 58 
3 7 14 21 27 32 37 44 48 57 
0 8 15 20 29 35 41 43 49 57 
3 6 12 23 26 34 38 47 48 54 
2 6 17 21 25 35 40 47 48 59 
1 11 17 22 24 35 39 44 49 57 
5 8 14 21 29 31 40 45 52 59 
3 10 16 22 24 35 37 45 53 58 
2 6 13 22 27 33 41 43 51 54 
0 11 12 18 27 34 37 46 51 54 
2 6 14 20 25 34 37 42 51 56 
5 7 17 23 28 31 36 42 48 57 
2 11 16 18 28 30 39 45 53 56 
1 10 15 20 26 31 41 44 49 55 
5 7 12 20 29 33 37 47 48 54 
0 8 17 21 27 35 37 45 50 54 
4 11 14 22 29 30 39 42 48 54 
3 10 17 23 29 33 38 47 50 58 
5 10 12 21 29 34 41 46 53 54 
3 9 17 19 25 33 41 42 48 55 
1 7 16 20 24 30 41 47 49 59 
4 8 16 22 26 32 40 42 51 57 
0 11 13 20 27 32 39 46 49 59 
3 11 15 22 25 34 36 44 48 56 
0 7 12 19 26 31 36 45 53 59 
3 9 14 19 26 30 38 46 51 56 
4 11 14 19 24 33 41 45 52 54 
1 6 16 22 27 31 36 45 48 54 
5 11 12 21 25 35 39 47 51 55 
2 8 13 23 24 32 41 43 53 59 
4 7 15 21 26 32 36 43 50 54 
0 9 16 22 24 34 40 42 51 59 
3 6 12 22 24 33 39 46 50 55 
3 10 12 21 28 30 38 42 52 57 
2 7 15 18 27 31 40 46 49 58 
5 9 16 22 28 31 41 45 50 58 
0 9 17 18 26 35 40 47 52 57 
1 7 13 18 25 35 36 43 52 55 
4 6 13 19 26 32 38 44 51 59 
0 9 15 21 28 34 40 43 53 56 
0 11 12 23 25 32 40 42 53 58 
4 9 14 23 27 35 40 47 51 58 
2 10 16 18 29 32 39 47 48 57 
1 8 17 18 29 35 41 42 50 57 
5 6 17 20 28 33 36 45 49 57 
2 7 16 21 28 30 37 44 52 58 
0 8 16 19 28 32 38 46 49 56 
1 10 15 20 29 34 39 46 51 59 
4 9 12 20 25 31 40 43 52 56 
2 10 14 18 24 34 37 45 48 56 
3 6 16 18 25 30 37 43 49 59 
3 8 14 18 28 33 41 46 52 55 
2 10 13 20 25 33 40 44 53 54 
5 7 17 23 25 35 41 42 52 58 
5 11 13 21 29 31 39 44 50 57 
2 6 15 19 26 31 38 47 51 55 
1 8 13 23 28 35 36 43 48 58 
5 10 17 22 27 33 39 42 50 59 
5 6 15 19 24 30 36 47 50 57 
3 10 14 22 27 35 36 43 50 55 
4 7 15 20 25 32 41 44 51 55 
2 10 12 22 26 34 36 47 53 56 
1 7 16 21 28 34 37 47 48 55 
0 10 14 20 26 35 39 47 48 56 
4 7 15 23 25 33 37 45 53 59 
2 6 12 21 24 33 37 45 53 54 
4 9 16 20 26 34 36 46 49 54 
0 6 14 18 29 33 38 42 49 57 
4 8 17 21 24 30 37 47 52 55 
3 11 15 20 27 33 41 46 50 57 
5 6 13 19 26 35 37 44 49 56 
5 8 13 18 27 35 41 42 53 54 
3 8 16 19 29 32 39 43 53 54 
1 6 14 20 25 31 40 45 49 54 
2 10 12 23 25 35 39 44 49 58 
4 11 14 23 24 33 36 47 49 59 
1 11 13 20 29 31 36 45 50 58 
5 9 17 20 26 35 36 43 53 59 
2 11 17 22 24 32 38 42 50 54 
0 11 13 21 26 34 38 42 48 55 
4 9 16 23 25 30 37 47 53 57 
4 6 12 20 28 30 39 44 51 56 
0 7 15 23 24 34 38 46 51 54 
3 7 17 18 27 35 37 47 52 54 
4 11 17 19 26 33 40 43 48 55 
5 6 12 21 28 32 40 47 50 58 
1 7 14 22 24 32 39 42 52 57 
3 8 15 20 24 30 38 43 51 58 
5 6 14 23 29 33 36 44 51 55 
5 10 14 19 28 31 38 46 53 57 
0 10 13 23 24 31 40 43 50 57 
2 7 12 18 26 32 38 45 53 55 
2 9 16 23 27 33 39 45 52 56 
3 8 12 19 24 35 41 44 48 57 
3 7 13 21 26 34 39 45 52 56 
4 9 16 19 27 34 39 44 50 58 
0 6 12 19 28 30 38 47 51 54 
2 9 12 20 27 31 41 42 53 57 
4 6 17 19 25 35 36 46 48 55 
1 8 16 22 26 32 37 44 50 58 
2 6 15 20 29 30 39 47 52 55 
0 7 16 21 27 34 39 44 49 57 
3 9 13 18 29 31 41 44 48 57 
4 8 17 23 26 30 36 42 49 59 
0 11 13 22 28 31 40 47 51 58 
1 7 17 19 29 35 38 45 50 56 
1 8 14 19 29 34 40 46 50 58 
0 9 14 18 29 30 36 47 52 58 
